pml_id,exchange,underlying_scrip_code,segment,security_id,pml_symbol,vega,fresh_pos,iv,square_off_pos,desc,theta,gamma,spot_price,delta,price,stk_price,net_chg,oi,oi_per_chg,oi_net_chg,per_chg,traded_vol,symbol,expiry_date,option_type,instrument,name,tick_size,lot_size,exch_feed_time
5001485791,NSE,26000,D,44675,NIFTY-Feb2024-21800-CE,7.56,101014,17.66,18183,NIFTY2421521800CE,-32.71,0.0008,21618.05,0.38,73.90,21800.0,-76.20,7822250.00,112.52,4141550.00,-50.77,1715332.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21800 CALL,5,50,2024-02-12T13:12:27
5001485781,NSE,26000,D,43986,NIFTY-Feb2024-21700-CE,7.89,101714,17.70,18371,NIFTY2421521700CE,-34.50,0.0008,21618.05,0.45,111.25,21700.0,-95.90,6549900.00,174.89,4167150.00,-46.29,1487201.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21700 CALL,5,50,2024-02-12T13:12:27
5001485790,NSE,26000,D,46569,NIFTY-Feb2024-22000-CE,6.16,68377,17.76,24874,NIFTY2421522000CE,-26.27,0.0006,21617.95,0.24,28.60,22000.0,-39.70,9233450.00,30.82,2175150.00,-58.27,1216691.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22000 CALL,5,50,2024-02-12T13:12:27
5001485798,NSE,26000,D,45593,NIFTY-Feb2024-21900-CE,6.96,99350,17.56,12395,NIFTY2421521900CE,-29.87,0.0007,21618.05,0.30,46.20,21900.0,-57.85,6992050.00,164.42,4347750.00,-55.60,1144233.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21900 CALL,5,50,2024-02-12T13:12:27
5001485785,NSE,26000,D,43991,NIFTY-Feb2024-21750-CE,7.76,49792,17.68,15011,NIFTY2421521750CE,-33.75,0.0008,21618.05,0.41,91.25,21750.0,-86.10,3059800.00,131.67,1739050.00,-48.55,864981.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21750 CALL,5,50,2024-02-12T13:12:27
5001485806,NSE,26000,D,48786,NIFTY-Feb2024-22100-CE,5.25,38685,17.80,13899,NIFTY2421522100CE,-22.27,0.0005,21617.95,0.18,16.55,22100.0,-26.45,4383000.00,39.42,1239300.00,-61.51,794121.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22100 CALL,5,50,2024-02-12T13:12:27
5001485808,NSE,26000,D,50053,NIFTY-Feb2024-22200-CE,4.31,44024,17.98,16662,NIFTY2421522200CE,-18.19,0.0004,21617.95,0.13,9.40,22200.0,-16.30,5321100.00,34.61,1368100.00,-63.42,771411.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22200 CALL,5,50,2024-02-12T13:12:27
5001485796,NSE,26000,D,45577,NIFTY-Feb2024-21850-CE,7.29,39117,17.63,9920,NIFTY2421521850CE,-31.40,0.0007,21618.05,0.34,59.00,21850.0,-66.85,2451400.00,147.23,1459850.00,-53.12,655982.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21850 CALL,5,50,2024-02-12T13:12:27
5001485812,NSE,26000,D,50059,NIFTY-Feb2024-22300-CE,3.41,59170,18.46,6465,NIFTY2421522300CE,-14.33,0.0003,21618.05,0.10,5.65,22300.0,-8.95,5119600.00,106.07,2635250.00,-61.30,647025.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22300 CALL,5,50,2024-02-12T13:12:27
5001485777,NSE,26000,D,43984,NIFTY-Feb2024-21650-CE,7.94,47120,17.72,8963,NIFTY2421521650CE,-34.94,0.0008,21618.05,0.49,134.10,21650.0,-104.40,2413650.00,377.19,1907850.00,-43.77,568112.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21650 CALL,5,50,2024-02-12T13:12:27
5001485828,NSE,26000,D,50071,NIFTY-Feb2024-22500-CE,1.91,71080,20.76,16096,NIFTY2421522500CE,-7.98,0.0002,21618.05,0.05,3.15,22500.0,-1.65,7594450.00,56.74,2749200.00,-34.37,555736.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22500 CALL,5,50,2024-02-12T13:12:27
5001485800,NSE,26000,D,45601,NIFTY-Feb2024-21950-CE,6.58,28645,17.65,9983,NIFTY2421521950CE,-28.14,0.0007,21617.95,0.27,36.50,21950.0,-48.40,2201900.00,73.54,933100.00,-57.13,522578.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21950 CALL,5,50,2024-02-12T13:12:27
5001485818,NSE,26000,D,50065,NIFTY-Feb2024-22400-CE,2.60,40793,19.36,17140,NIFTY2421522400CE,-10.89,0.0003,21618.05,0.07,3.85,22400.0,-4.45,4129100.00,40.14,1182650.00,-53.61,518226.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22400 CALL,5,50,2024-02-12T13:12:27
5001485810,NSE,26000,D,50057,NIFTY-Feb2024-22250-CE,3.85,34711,18.15,9156,NIFTY2421522250CE,-16.22,0.0004,21617.95,0.11,7.15,22250.0,-12.30,3241950.00,65.05,1277750.00,-63.24,496011.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22250 CALL,5,50,2024-02-12T13:12:27
5001485773,NSE,26000,D,43982,NIFTY-Feb2024-21600-CE,7.91,50020,17.77,11807,NIFTY2421521600CE,-35.06,0.0008,21618.05,0.53,159.90,21600.0,-112.85,2503050.00,322.53,1910650.00,-41.37,485618.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21600 CALL,5,50,2024-02-12T13:12:27
5001485804,NSE,26000,D,48784,NIFTY-Feb2024-22050-CE,5.72,26891,17.72,11784,NIFTY2421522050CE,-24.30,0.0006,21618.05,0.21,21.65,22050.0,-33.00,1887400.00,66.72,755350.00,-60.38,484639.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22050 CALL,5,50,2024-02-12T13:12:27
5001485802,NSE,26000,D,49055,NIFTY-Feb2024-22150-CE,4.78,28374,17.85,6401,NIFTY2421522150CE,-20.22,0.0005,21617.95,0.16,12.40,22150.0,-21.15,2096400.00,110.11,1098650.00,-63.04,442952.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22150 CALL,5,50,2024-02-12T13:12:27
5001485815,NSE,26000,D,50063,NIFTY-Feb2024-22350-CE,2.99,17550,18.80,16221,NIFTY2421522350CE,-12.55,0.0003,21618.05,0.08,4.50,22350.0,-6.35,1726750.00,4.00,66450.00,-58.53,356524.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22350 CALL,5,50,2024-02-12T13:12:27
5001485841,NSE,26000,D,50079,NIFTY-Feb2024-22700-CE,0.92,13623,23.71,31634,NIFTY2421522700CE,-3.83,0.0001,21616.35,0.02,2.35,22700.0,-0.05,3956450.00,-18.54,-900550.00,-2.08,292957.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22700 CALL,5,50,2024-02-12T13:12:24
5001485860,NSE,26000,D,50091,NIFTY-Feb2024-23000-CE,0.24,17444,28.28,17349,NIFTY2421523000CE,-1.00,0.0000,21618.05,0.00,1.85,23000.0,0.30,5407650.00,0.09,4750.00,19.35,288730.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23000 CALL,5,50,2024-02-12T13:12:27
5001485834,NSE,26000,D,50075,NIFTY-Feb2024-22600-CE,1.36,13440,22.11,14867,NIFTY2421522600CE,-5.65,0.0001,21618.35,0.03,2.60,22600.0,-0.35,3436700.00,-2.03,-71350.00,-11.86,261381.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22600 CALL,5,50,2024-02-12T13:12:25
5001485822,NSE,26000,D,50067,NIFTY-Feb2024-22450-CE,2.24,22309,20.08,9263,NIFTY2421522450CE,-9.36,0.0002,21618.05,0.06,3.50,22450.0,-2.80,1872250.00,53.47,652300.00,-44.44,257869.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22450 CALL,5,50,2024-02-12T13:12:27
5001485848,NSE,26000,D,50083,NIFTY-Feb2024-22800-CE,0.61,19510,25.06,7297,NIFTY2421522800CE,-2.55,0.0001,21618.35,0.01,2.05,22800.0,0.15,2642600.00,30.05,610650.00,7.89,191032.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22800 CALL,5,50,2024-02-12T13:12:26
5001485838,NSE,26000,D,50077,NIFTY-Feb2024-22650-CE,1.13,8423,22.93,14435,NIFTY2421522650CE,-4.69,0.0001,21618.35,0.02,2.50,22650.0,-0.30,1994000.00,-13.10,-300600.00,-10.71,136659.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22650 CALL,5,50,2024-02-12T13:12:25
5001485830,NSE,26000,D,50073,NIFTY-Feb2024-22550-CE,1.61,12095,21.45,8502,NIFTY2421522550CE,-6.72,0.0002,21617.30,0.04,2.85,22550.0,-0.80,1576250.00,12.86,179650.00,-21.92,129440.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22550 CALL,5,50,2024-02-12T13:12:21
5001485794,NSE,26000,D,43197,NIFTY-Feb2024-21500-CE,7.62,13130,17.88,6406,NIFTY2421521500CE,-34.34,0.0008,21618.05,0.61,220.00,21500.0,-127.25,864450.00,63.64,336200.00,-36.65,123228.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21500 CALL,5,50,2024-02-12T13:12:27
5001485855,NSE,26000,D,50087,NIFTY-Feb2024-22900-CE,0.39,11863,26.80,4088,NIFTY2421522900CE,-1.61,0.0000,21616.35,0.01,2.00,22900.0,0.40,1218900.00,46.83,388750.00,25.00,90049.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22900 CALL,5,50,2024-02-12T13:12:25
5001485905,NSE,26000,D,50205,NIFTY-Feb2024-23500-CE,0.01,1797,34.45,7743,NIFTY2421523500CE,-0.06,0.0000,21621.50,0.00,1.05,23500.0,0.20,2186350.00,-11.97,-297300.00,23.53,88396.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23500 CALL,5,50,2024-02-12T13:12:09
5001485871,NSE,26000,D,50100,NIFTY-Feb2024-23200-CE,0.08,4250,30.70,4632,NIFTY2421523200CE,-0.34,0.0000,21618.45,0.00,1.40,23200.0,0.30,569900.00,-3.24,-19100.00,27.27,76694.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23200 CALL,5,50,2024-02-12T13:12:18
5001485865,NSE,26000,D,50095,NIFTY-Feb2024-23100-CE,0.14,6467,29.57,5255,NIFTY2421523100CE,-0.60,0.0000,21618.90,0.00,1.65,23100.0,0.25,1236850.00,5.15,60600.00,17.86,69990.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23100 CALL,5,50,2024-02-12T13:12:11
5001485788,NSE,26000,D,43628,NIFTY-Feb2024-21550-CE,7.81,7954,17.83,2550,NIFTY2421521550CE,-34.86,0.0008,21618.05,0.57,188.65,21550.0,-121.25,367000.00,279.13,270200.00,-39.13,68639.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21550 CALL,5,50,2024-02-12T13:12:27
5001485937,NSE,26000,D,50297,NIFTY-Feb2024-23800-CE,0.00,2222,38.59,2364,NIFTY2421523800CE,-0.01,0.0000,21617.95,0.00,0.90,23800.0,0.15,1882800.00,-0.38,-7100.00,20.00,57455.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23800 CALL,5,50,2024-02-12T13:12:27
5001485880,NSE,26000,D,50107,NIFTY-Feb2024-23300-CE,0.05,2419,32.11,6496,NIFTY2421523300CE,-0.19,0.0000,21617.00,0.00,1.30,23300.0,0.25,424300.00,-32.45,-203850.00,23.81,49874.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23300 CALL,5,50,2024-02-12T13:12:00
5001485845,NSE,26000,D,50081,NIFTY-Feb2024-22750-CE,0.75,3791,24.39,3454,NIFTY2421522750CE,-3.13,0.0001,21617.30,0.02,2.20,22750.0,0.05,758900.00,2.27,16850.00,2.33,42252.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22750 CALL,5,50,2024-02-12T13:12:21
5001485928,NSE,26000,D,50279,NIFTY-Feb2024-23700-CE,0.00,1030,37.03,1166,NIFTY2421523700CE,-0.01,0.0000,21620.05,0.00,0.90,23700.0,0.15,789600.00,-0.85,-6800.00,20.00,35868.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23700 CALL,5,50,2024-02-12T13:12:13
5001485851,NSE,26000,D,50085,NIFTY-Feb2024-22850-CE,0.49,4316,25.98,2818,NIFTY2421522850CE,-2.04,0.0000,21617.95,0.01,2.05,22850.0,0.30,614950.00,13.87,74900.00,17.14,33916.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22850 CALL,5,50,2024-02-12T13:12:27
5001485942,NSE,26000,D,50307,NIFTY-Feb2024-23850-CE,0.00,1263,38.83,2063,NIFTY2421523850CE,0.00,0.0000,21618.45,0.00,0.80,23850.0,0.00,1746000.00,-2.24,-40000.00,0.00,33204.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23850 CALL,5,50,2024-02-12T13:12:20
5001485858,NSE,26000,D,50089,NIFTY-Feb2024-22950-CE,0.31,4708,27.50,3395,NIFTY2421522950CE,-1.27,0.0000,21617.00,0.01,1.90,22950.0,0.25,372100.00,21.42,65650.00,15.15,26676.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 22950 CALL,5,50,2024-02-12T13:12:00
5001485875,NSE,26000,D,50103,NIFTY-Feb2024-23250-CE,0.06,1305,31.25,1550,NIFTY2421523250CE,-0.26,0.0000,21618.35,0.00,1.30,23250.0,0.30,350200.00,-3.38,-12250.00,30.00,25844.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23250 CALL,5,50,2024-02-12T13:12:26
5001485780,NSE,26000,D,41743,NIFTY-Feb2024-21400-CE,7.05,3643,17.92,829,NIFTY2421521400CE,-32.46,0.0007,21617.20,0.69,289.25,21400.0,-140.30,295150.00,91.10,140700.00,-32.66,23693.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21400 CALL,5,50,2024-02-12T13:12:21
5001485869,NSE,26000,D,50098,NIFTY-Feb2024-23150-CE,0.11,1013,30.12,1786,NIFTY2421523150CE,-0.45,0.0000,21617.90,0.00,1.50,23150.0,0.35,268950.00,-12.57,-38650.00,30.43,23094.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23150 CALL,5,50,2024-02-12T13:12:00
5001485891,NSE,26000,D,50155,NIFTY-Feb2024-23400-CE,0.02,1319,33.48,5441,NIFTY2421523400CE,-0.10,0.0000,21614.70,0.00,1.20,23400.0,0.30,189800.00,-52.06,-206100.00,33.33,22833.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23400 CALL,5,50,2024-02-12T13:11:45
5001485862,NSE,26000,D,50093,NIFTY-Feb2024-23050-CE,0.19,2501,28.95,1956,NIFTY2421523050CE,-0.78,0.0000,21619.25,0.00,1.75,23050.0,0.30,194000.00,16.34,27250.00,20.69,18301.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23050 CALL,5,50,2024-02-12T13:12:18
5001485886,NSE,26000,D,50140,NIFTY-Feb2024-23350-CE,0.03,1268,32.77,1730,NIFTY2421523350CE,-0.14,0.0000,21617.00,0.00,1.25,23350.0,0.30,196600.00,-10.51,-23100.00,31.58,15519.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23350 CALL,5,50,2024-02-12T13:12:00
5001485784,NSE,26000,D,41745,NIFTY-Feb2024-21450-CE,7.37,1501,18.08,557,NIFTY2421521450CE,-33.54,0.0007,21617.20,0.65,254.35,21450.0,-136.70,87750.00,116.40,47200.00,-34.96,11030.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21450 CALL,5,50,2024-02-12T13:12:21
5001485918,NSE,26000,D,50271,NIFTY-Feb2024-23600-CE,0.01,659,35.94,636,NIFTY2421523600CE,-0.03,0.0000,21617.20,0.00,1.00,23600.0,0.15,267650.00,0.43,1150.00,17.65,7820.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23600 CALL,5,50,2024-02-12T13:12:22
5001485772,NSE,26000,D,41734,NIFTY-Feb2024-21300-CE,6.25,759,17.81,278,NIFTY2421521300CE,-29.59,0.0006,21618.45,0.76,368.35,21300.0,-150.75,158300.00,17.91,24050.00,-29.04,5135.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21300 CALL,5,50,2024-02-12T13:12:20
5001485900,NSE,26000,D,50198,NIFTY-Feb2024-23450-CE,0.02,1222,34.06,379,NIFTY2421523450CE,-0.08,0.0000,21617.35,0.00,1.15,23450.0,0.20,116800.00,56.46,42150.00,21.05,4005.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23450 CALL,5,50,2024-02-12T13:12:17
5001485923,NSE,26000,D,50275,NIFTY-Feb2024-23650-CE,0.00,447,36.25,456,NIFTY2421523650CE,-0.02,0.0000,21617.30,0.00,0.90,23650.0,0.10,158400.00,-0.28,-450.00,12.50,3541.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23650 CALL,5,50,2024-02-12T13:12:21
5001485915,NSE,26000,D,50269,NIFTY-Feb2024-23550-CE,0.01,189,35.00,367,NIFTY2421523550CE,-0.04,0.0000,21615.75,0.00,0.95,23550.0,0.10,197650.00,-4.31,-8900.00,11.76,2710.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23550 CALL,5,50,2024-02-12T13:11:57
5001485714,NSE,26000,D,40264,NIFTY-Feb2024-21000-CE,3.38,635,14.48,257,NIFTY2421521000CE,-18.84,0.0003,21617.20,0.90,636.25,21000.0,-165.15,233650.00,8.80,18900.00,-20.61,2621.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21000 CALL,5,50,2024-02-12T13:12:21
5001485776,NSE,26000,D,41740,NIFTY-Feb2024-21350-CE,6.67,541,18.26,211,NIFTY2421521350CE,-31.12,0.0007,21617.95,0.72,330.05,21350.0,-144.50,37150.00,79.90,16500.00,-30.45,2200.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21350 CALL,5,50,2024-02-12T13:12:15
5001485726,NSE,26000,D,40468,NIFTY-Feb2024-21200-CE,5.30,336,17.88,109,NIFTY2421521200CE,-26.09,0.0005,21619.70,0.82,455.80,21200.0,-158.45,80500.00,16.41,11350.00,-25.80,2053.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21200 CALL,5,50,2024-02-12T13:12:07
5001485932,NSE,26000,D,50287,NIFTY-Feb2024-23750-CE,0.00,346,37.66,166,NIFTY2421523750CE,-0.01,0.0000,21611.40,0.00,0.85,23750.0,0.05,107350.00,9.15,9000.00,6.25,1801.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 23750 CALL,5,50,2024-02-12T13:10:57
5001485722,NSE,26000,D,40462,NIFTY-Feb2024-21100-CE,4.33,118,18.51,54,NIFTY2421521100CE,-22.47,0.0004,21617.35,0.86,546.65,21100.0,-154.35,41350.00,8.39,3200.00,-22.02,1026.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21100 CALL,5,50,2024-02-12T13:12:16
5001485770,NSE,26000,D,41730,NIFTY-Feb2024-21250-CE,5.84,218,18.66,118,NIFTY2421521250CE,-28.08,0.0006,21613.35,0.78,410.00,21250.0,-159.50,24400.00,25.77,5000.00,-28.01,632.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21250 CALL,5,50,2024-02-12T13:11:39
5001485724,NSE,26000,D,40464,NIFTY-Feb2024-21150-CE,4.86,25,17.06,32,NIFTY2421521150CE,-24.44,0.0005,21614.15,0.84,493.45,21150.0,-164.15,8050.00,-4.17,-350.00,-24.96,333.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21150 CALL,5,50,2024-02-12T13:10:21
5001485768,NSE,26000,D,40073,NIFTY-Feb2024-20900-CE,2.68,19,0.00,58,NIFTY2421520900CE,-16.11,0.0003,21597.60,0.93,714.75,20900.0,-184.75,6600.00,-22.81,-1950.00,-20.54,123.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20900 CALL,5,50,2024-02-12T13:06:21
5001485720,NSE,26000,D,40460,NIFTY-Feb2024-21050-CE,3.93,12,16.60,13,NIFTY2421521050CE,-20.94,0.0004,21608.20,0.88,581.10,21050.0,-144.05,3600.00,-1.37,-50.00,-19.86,64.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 21050 CALL,5,50,2024-02-12T13:11:22
5001485764,NSE,26000,D,39740,NIFTY-Feb2024-20800-CE,1.67,0,16.89,10,NIFTY2421520800CE,-12.18,0.0002,21641.50,0.96,859.70,20800.0,-138.30,15600.00,-3.11,-500.00,-13.86,31.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20800 CALL,5,50,2024-02-12T12:52:53
5001485740,NSE,26000,D,39696,NIFTY-Feb2024-20500-CE,0.56,3,0.00,14,NIFTY2421520500CE,-7.79,0.0001,21594.80,0.99,1104.50,20500.0,-179.45,34450.00,-1.57,-550.00,-13.98,20.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20500 CALL,5,50,2024-02-12T13:01:46
5001485738,NSE,26000,D,39694,NIFTY-Feb2024-20450-CE,0.34,0,0.00,10,NIFTY2421520450CE,-6.91,0.0000,21647.95,0.99,1208.00,20450.0,-72.75,3100.00,-13.89,-500.00,-0.45,16.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20450 CALL,5,50,2024-02-12T12:55:07
5001485757,NSE,26000,D,39721,NIFTY-Feb2024-20700-CE,1.40,5,0.00,6,NIFTY2421520700CE,-11.11,0.0001,21584.70,0.97,898.10,20700.0,-212.45,10950.00,-0.45,-50.00,-19.13,13.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20700 CALL,5,50,2024-02-12T13:02:21
5001485736,NSE,26000,D,39691,NIFTY-Feb2024-20400-CE,0.27,0,0.00,3,NIFTY2421520400CE,-6.65,0.0000,21641.60,1.00,1247.00,20400.0,-147.25,3400.00,-4.23,-150.00,-10.56,9.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20400 CALL,5,50,2024-02-12T12:14:04
5001485751,NSE,26000,D,39713,NIFTY-Feb2024-20650-CE,1.01,0,0.00,5,NIFTY2421520650CE,-9.61,0.0001,21614.20,0.98,977.00,20650.0,-148.00,700.00,-26.32,-250.00,-13.16,8.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20650 CALL,5,50,2024-02-12T13:11:51
5001485766,NSE,26000,D,39751,NIFTY-Feb2024-20850-CE,1.82,1,0.00,2,NIFTY2421520850CE,-12.72,0.0002,21672.60,0.96,840.00,20850.0,-50.00,500.00,-9.09,-50.00,-5.62,6.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20850 CALL,5,50,2024-02-12T12:31:34
5001485747,NSE,26000,D,39709,NIFTY-Feb2024-20600-CE,0.58,3,0.00,0,NIFTY2421520600CE,-7.88,0.0001,21703.30,0.99,1116.55,20600.0,-93.45,1150.00,15.00,150.00,-7.72,6.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20600 CALL,5,50,2024-02-12T11:39:18
5001485746,NSE,26000,D,38699,NIFTY-Feb2024-20000-CE,0.03,0,0.00,3,NIFTY2421520000CE,-5.58,0.0000,21592.10,1.00,1600.00,20000.0,-202.95,19950.00,-0.75,-150.00,-11.26,6.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20000 CALL,5,50,2024-02-12T13:01:38
5001485762,NSE,26000,D,39738,NIFTY-Feb2024-20750-CE,1.16,0,28.89,0,NIFTY2421520750CE,-10.02,0.0001,21711.10,0.98,990.00,20750.0,-47.05,4850.00,0.00,0.00,0.00,2.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20750 CALL,5,50,2024-02-12T10:00:56
5001485728,NSE,26000,D,39671,NIFTY-Feb2024-20200-CE,0.07,1,0.00,0,NIFTY2421520200CE,-5.78,0.0000,21694.30,1.00,1495.85,20200.0,-59.80,11650.00,0.43,50.00,-1.68,2.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 20200 CALL,5,50,2024-02-12T11:00:34
5001485674,NSE,26000,D,37267,NIFTY-Feb2024-19600-CE,0.00,0,0.00,0,NIFTY2421519600CE,-5.37,0.0000,21827.85,1.00,2225.00,19600.0,30.00,500.00,0.00,0.00,0.00,1.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 19600 CALL,5,50,2024-02-12T09:19:31
5001485670,NSE,26000,D,37263,NIFTY-Feb2024-19500-CE,0.00,0,0.00,0,NIFTY2421519500CE,-5.34,0.0000,21593.00,1.00,2100.00,19500.0,-191.80,2350.00,0.00,0.00,0.00,1.00,NIFTY,2024-02-15T00:00:00,CE,OPTIDX,NIFTY 15 FEB 19500 CALL,5,50,2024-02-12T13:01:37
